age,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,shipping_type,previous_purchases,payment_method,frequency_of_purchases,subscription_status_Yes,discount_applied_Yes,Male
27,Sweater,Clothing,35,Iowa,S,Gray,Summer,2.6,Next Day Air,21,Debit Card,Every 3 Months,0,1,1
36,Coat,Outerwear,62,Idaho,M,Gray,Summer,4.4,Free Shipping,12,Venmo,Every 3 Months,0,1,1
59,Boots,Footwear,75,Ohio,M,Brown,Fall,2.6,Next Day Air,21,Debit Card,Every 3 Months,0,1,1
62,Hoodie,Clothing,29,Alabama,S,Indigo,Summer,3.3,Free Shipping,35,Cash,Monthly,0,1,1
34,Hat,Accessories,28,Wyoming,M,Violet,Spring,3.5,Express,42,Credit Card,Every 3 Months,0,1,1
59,T-shirt,Clothing,20,Alabama,XL,Blue,Spring,4.1,Store Pickup,3,PayPal,Every 3 Months,0,1,1
49,Coat,Outerwear,96,Mississippi,M,Red,Winter,4.0,Store Pickup,11,PayPal,Bi-Weekly,0,1,1
18,Dress,Clothing,43,Pennsylvania,S,Peach,Summer,2.7,2-Day Shipping,22,PayPal,Quarterly,0,1,1
55,Shirt,Clothing,94,Wyoming,M,Olive,Fall,2.5,Standard,47,Credit Card,Weekly,0,1,1
38,Skirt,Clothing,81,Maryland,XL,White,Fall,4.3,Next Day Air,33,Venmo,Every 3 Months,0,1,1
50,Jewelry,Accessories,75,North Carolina,M,Magenta,Summer,3.3,Free Shipping,50,Debit Card,Weekly,0,1,1
61,Hat,Accessories,81,Pennsylvania,M,Beige,Summer,2.6,Express,46,Credit Card,Monthly,0,1,1
48,Shorts,Clothing,92,Idaho,L,Gold,Fall,3.5,Express,34,Debit Card,Fortnightly,0,1,1
22,Scarf,Accessories,96,California,XL,Purple,Spring,4.0,Store Pickup,33,Credit Card,Monthly,0,1,1
48,Jewelry,Accessories,71,Tennessee,S,White,Fall,2.6,Standard,45,Bank Transfer,Fortnightly,0,1,1
57,Sunglasses,Accessories,50,Missouri,L,Indigo,Summer,4.9,Next Day Air,32,Debit Card,Bi-Weekly,0,1,1
33,Coat,Outerwear,72,North Dakota,L,Charcoal,Spring,2.9,Standard,47,Venmo,Bi-Weekly,0,1,1
58,Jacket,Outerwear,28,West Virginia,M,Pink,Winter,3.7,Standard,5,PayPal,Quarterly,0,1,1
37,Sweater,Clothing,59,Arizona,M,Silver,Fall,4.4,Express,49,Credit Card,Fortnightly,0,1,1
18,Coat,Outerwear,33,Oklahoma,S,Blue,Summer,4.4,Free Shipping,48,Bank Transfer,Monthly,0,1,1
65,Scarf,Accessories,59,Pennsylvania,L,Blue,Fall,3.8,Express,22,Cash,Every 3 Months,0,1,1
62,Belt,Accessories,30,Idaho,XL,Brown,Spring,4.5,Standard,45,Credit Card,Annually,0,1,1
54,Hat,Accessories,85,South Carolina,XL,Cyan,Winter,2.6,Next Day Air,30,Venmo,Quarterly,0,1,1
35,Backpack,Accessories,97,Washington,L,Teal,Summer,3.3,Store Pickup,43,Cash,Weekly,0,1,1
34,T-shirt,Clothing,36,Arkansas,S,Purple,Fall,4.1,Next Day Air,48,Cash,Quarterly,0,1,1
25,Jewelry,Accessories,85,Utah,M,Turquoise,Winter,3.0,Store Pickup,23,Venmo,Fortnightly,0,1,1
53,Sunglasses,Accessories,62,Alaska,M,Olive,Winter,3.0,Free Shipping,27,PayPal,Bi-Weekly,0,1,1
45,Jeans,Clothing,71,West Virginia,S,White,Winter,3.4,Next Day Air,7,Bank Transfer,Monthly,0,1,1
49,Pants,Clothing,21,Louisiana,M,Turquoise,Winter,2.7,Free Shipping,2,PayPal,Weekly,0,1,1
40,Backpack,Accessories,61,Arizona,M,Silver,Spring,3.8,Next Day Air,33,PayPal,Bi-Weekly,0,1,1
38,Scarf,Accessories,58,Connecticut,M,Violet,Spring,4.2,Store Pickup,27,Cash,Fortnightly,0,1,1
44,Sweater,Clothing,80,North Carolina,L,Lavender,Spring,4.7,Store Pickup,6,Credit Card,Fortnightly,0,1,1
68,Jewelry,Accessories,50,South Dakota,L,Magenta,Spring,4.1,2-Day Shipping,20,Venmo,Quarterly,0,1,1
60,Sneakers,Footwear,48,Delaware,S,Indigo,Winter,4.2,2-Day Shipping,46,Venmo,Every 3 Months,0,1,1
25,Jewelry,Accessories,40,Connecticut,M,Black,Winter,4.8,Next Day Air,25,Cash,Quarterly,0,1,1
19,Coat,Outerwear,34,Tennessee,S,Peach,Summer,3.0,Free Shipping,30,Bank Transfer,Quarterly,0,1,1
57,Coat,Outerwear,46,New Hampshire,S,Beige,Fall,2.6,Standard,48,Credit Card,Annually,0,1,1
58,Sunglasses,Accessories,27,Vermont,M,Black,Summer,3.2,Store Pickup,47,Bank Transfer,Weekly,0,1,1
49,Handbag,Accessories,98,Idaho,S,Turquoise,Spring,3.6,Next Day Air,27,Credit Card,Weekly,0,1,1
19,Sweater,Clothing,73,North Carolina,M,Peach,Fall,2.6,Next Day Air,45,Bank Transfer,Fortnightly,0,1,1
50,Pants,Clothing,28,Nevada,L,Gold,Spring,4.4,Express,2,Credit Card,Weekly,0,1,1
30,Gloves,Accessories,76,Delaware,XL,Silver,Fall,3.0,Free Shipping,39,Cash,Fortnightly,0,1,1
52,Sweater,Clothing,83,Texas,M,Peach,Fall,2.9,Express,24,Cash,Fortnightly,0,1,1
35,Hoodie,Clothing,23,Tennessee,S,Charcoal,Spring,4.3,Free Shipping,8,Debit Card,Bi-Weekly,0,1,1
35,Hat,Accessories,28,Delaware,M,Beige,Fall,3.1,Express,8,Bank Transfer,Quarterly,0,1,1
33,T-shirt,Clothing,83,Massachusetts,S,Olive,Spring,3.0,Next Day Air,6,Venmo,Every 3 Months,0,1,1
52,Skirt,Clothing,96,Minnesota,L,Violet,Winter,3.6,Store Pickup,12,Venmo,Fortnightly,0,1,1
69,Sneakers,Footwear,62,Texas,M,Peach,Fall,2.8,Store Pickup,26,Bank Transfer,Weekly,0,1,1
27,Shorts,Clothing,25,Nebraska,M,Teal,Fall,2.8,Standard,50,Cash,Fortnightly,0,1,1
66,Hoodie,Clothing,97,Oklahoma,L,Violet,Winter,4.9,Next Day Air,2,Venmo,Weekly,0,1,1
28,Hoodie,Clothing,61,Texas,L,Cyan,Fall,3.0,Standard,31,Cash,Bi-Weekly,0,1,1
22,Shoes,Footwear,66,New York,S,Olive,Summer,4.1,Next Day Air,4,Credit Card,Bi-Weekly,0,1,1
69,Hoodie,Clothing,67,Washington,XL,Pink,Spring,4.6,Free Shipping,32,PayPal,Quarterly,0,1,1
28,Sunglasses,Accessories,80,Maryland,M,Purple,Summer,4.8,Next Day Air,11,PayPal,Bi-Weekly,0,1,1
55,Skirt,Clothing,25,New Hampshire,L,Violet,Fall,2.6,Next Day Air,47,Bank Transfer,Every 3 Months,0,1,1
30,Hat,Accessories,58,New York,S,Peach,Fall,4.0,2-Day Shipping,37,Cash,Weekly,0,1,1
67,Backpack,Accessories,96,Hawaii,M,Charcoal,Winter,4.2,Express,39,PayPal,Fortnightly,0,1,1
25,Sunglasses,Accessories,77,California,L,Lavender,Spring,4.5,Store Pickup,24,Credit Card,Monthly,0,1,1
49,Belt,Accessories,65,Indiana,M,Purple,Summer,4.9,Standard,11,PayPal,Every 3 Months,0,1,1
34,Jewelry,Accessories,36,Louisiana,M,Indigo,Spring,3.1,Standard,36,Credit Card,Weekly,0,1,1
22,Sneakers,Footwear,84,Pennsylvania,M,Magenta,Winter,4.0,Next Day Air,40,Debit Card,Monthly,0,1,1
63,T-shirt,Clothing,58,Florida,XL,Peach,Fall,3.2,Express,25,Cash,Quarterly,0,1,1
70,Handbag,Accessories,62,North Carolina,S,Charcoal,Spring,4.3,2-Day Shipping,12,Credit Card,Annually,0,1,1
36,Hat,Accessories,67,Massachusetts,S,Purple,Fall,2.5,Store Pickup,38,Cash,Monthly,0,1,1
42,Sweater,Clothing,20,Iowa,M,Orange,Spring,4.9,Express,40,Cash,Quarterly,0,1,1
27,Sandals,Footwear,90,North Dakota,M,Lavender,Summer,2.7,2-Day Shipping,10,Bank Transfer,Weekly,0,1,1
23,Scarf,Accessories,58,Iowa,L,Beige,Winter,3.4,Standard,47,Venmo,Fortnightly,0,1,1
50,Shirt,Clothing,53,Delaware,XL,Maroon,Spring,4.8,Store Pickup,22,Debit Card,Monthly,0,1,1
56,Gloves,Accessories,30,New York,L,Charcoal,Winter,4.7,Next Day Air,35,Debit Card,Monthly,0,1,1
37,Hoodie,Clothing,65,New Hampshire,XL,White,Winter,4.7,Express,46,Venmo,Fortnightly,0,1,1
67,Jewelry,Accessories,41,Kentucky,M,Lavender,Summer,3.9,Standard,30,PayPal,Bi-Weekly,0,1,1
67,Shirt,Clothing,73,Illinois,M,Black,Spring,3.7,Express,20,Bank Transfer,Monthly,0,1,1
50,Hoodie,Clothing,98,North Carolina,S,Teal,Spring,4.3,Store Pickup,25,Cash,Fortnightly,0,1,1
36,Shoes,Footwear,36,Connecticut,XL,Magenta,Winter,4.1,2-Day Shipping,29,Cash,Weekly,0,1,1
62,T-shirt,Clothing,81,Wisconsin,M,Brown,Summer,4.6,Express,2,Venmo,Every 3 Months,0,1,1
65,Skirt,Clothing,90,Massachusetts,L,Peach,Winter,3.6,2-Day Shipping,32,Bank Transfer,Quarterly,0,1,1
23,Handbag,Accessories,83,Illinois,S,Cyan,Summer,4.8,Free Shipping,37,Cash,Monthly,0,1,1
46,Shirt,Clothing,91,New Mexico,XL,Pink,Winter,2.8,2-Day Shipping,16,Bank Transfer,Every 3 Months,0,1,1
18,Pants,Clothing,36,Iowa,M,Purple,Summer,4.7,Express,32,Venmo,Fortnightly,0,1,1
58,Coat,Outerwear,53,Alabama,L,Purple,Spring,3.9,Standard,42,Debit Card,Bi-Weekly,0,1,1
31,Jeans,Clothing,39,Maryland,M,White,Winter,2.6,Store Pickup,6,Credit Card,Every 3 Months,0,1,1
39,Gloves,Accessories,33,Ohio,S,Silver,Winter,4.7,Next Day Air,23,PayPal,Fortnightly,0,1,1
69,T-shirt,Clothing,76,Ohio,L,Green,Spring,3.5,Store Pickup,27,Venmo,Bi-Weekly,0,1,1
68,Boots,Footwear,23,Nevada,L,Teal,Winter,4.4,Standard,43,PayPal,Quarterly,0,1,1
41,Jeans,Clothing,54,South Carolina,S,Indigo,Fall,4.4,2-Day Shipping,25,Bank Transfer,Fortnightly,0,1,1
31,Sneakers,Footwear,89,Nevada,L,Pink,Summer,3.0,Express,30,Cash,Every 3 Months,0,1,1
48,Sneakers,Footwear,38,Wisconsin,M,Indigo,Summer,4.2,Standard,7,Bank Transfer,Every 3 Months,0,1,1
59,Hat,Accessories,36,Tennessee,XL,Red,Winter,4.3,Next Day Air,17,Debit Card,Annually,0,1,1
34,Pants,Clothing,66,Florida,M,Violet,Spring,2.6,Store Pickup,10,PayPal,Fortnightly,0,1,1
21,Jewelry,Accessories,42,Georgia,L,Cyan,Spring,3.3,Store Pickup,40,Venmo,Annually,0,1,1
29,Jewelry,Accessories,36,Kentucky,S,Red,Winter,2.7,Next Day Air,50,Venmo,Bi-Weekly,0,1,1
41,Blouse,Clothing,86,Ohio,M,Gray,Spring,4.2,Express,24,Credit Card,Weekly,0,1,1
62,Handbag,Accessories,49,Connecticut,M,Gold,Fall,4.0,Standard,8,PayPal,Every 3 Months,0,1,1
27,Shirt,Clothing,41,Idaho,M,Pink,Summer,4.0,Free Shipping,6,Bank Transfer,Quarterly,0,1,1
49,Dress,Clothing,82,Georgia,L,Cyan,Spring,2.9,2-Day Shipping,44,Credit Card,Bi-Weekly,0,1,1
67,T-shirt,Clothing,53,Tennessee,S,Red,Fall,2.6,Express,47,PayPal,Quarterly,0,1,1
20,Shoes,Footwear,21,Hawaii,M,Gold,Summer,4.8,Express,6,Venmo,Every 3 Months,0,1,1
37,Belt,Accessories,66,Maryland,M,Charcoal,Fall,4.4,Standard,11,Cash,Quarterly,0,1,1
69,Belt,Accessories,89,Nevada,L,Orange,Summer,4.0,2-Day Shipping,41,Bank Transfer,Annually,0,1,1
66,Handbag,Accessories,55,New Hampshire,L,Blue,Fall,3.6,2-Day Shipping,46,Venmo,Every 3 Months,0,1,1
37,Scarf,Accessories,42,North Dakota,S,Blue,Summer,3.2,Next Day Air,9,Venmo,Bi-Weekly,0,1,1
63,Shorts,Clothing,52,Oklahoma,S,Orange,Fall,3.1,2-Day Shipping,37,PayPal,Monthly,0,1,1
47,Sandals,Footwear,92,North Carolina,M,Blue,Winter,4.2,Express,13,PayPal,Weekly,0,1,1
26,Pants,Clothing,56,Tennessee,L,White,Summer,3.0,2-Day Shipping,24,Debit Card,Monthly,0,1,1
68,Dress,Clothing,96,Montana,M,Green,Winter,4.2,Standard,47,PayPal,Quarterly,0,1,1
51,T-shirt,Clothing,64,Wisconsin,M,Silver,Winter,2.9,Next Day Air,21,Venmo,Every 3 Months,0,1,1
48,Dress,Clothing,48,Connecticut,S,Lavender,Winter,3.7,Store Pickup,22,Venmo,Fortnightly,0,1,1
60,Socks,Clothing,83,New Jersey,XL,Beige,Summer,3.6,Free Shipping,16,PayPal,Quarterly,0,1,1
68,Scarf,Accessories,91,Mississippi,L,Violet,Summer,3.6,Standard,37,Debit Card,Fortnightly,0,1,1
25,Backpack,Accessories,94,Wyoming,S,Gray,Fall,4.5,2-Day Shipping,3,Cash,Annually,0,1,1
57,Skirt,Clothing,62,Illinois,S,Red,Spring,3.2,Express,33,Cash,Bi-Weekly,0,1,1
41,Socks,Clothing,55,Louisiana,M,Lavender,Spring,3.9,Next Day Air,15,Debit Card,Annually,0,1,1
59,Coat,Outerwear,68,Oregon,L,Peach,Spring,4.6,Store Pickup,42,Bank Transfer,Bi-Weekly,0,1,1
44,Jewelry,Accessories,76,South Dakota,M,Indigo,Winter,2.5,Express,42,Cash,Bi-Weekly,0,1,1
42,Backpack,Accessories,31,Michigan,M,Black,Winter,4.3,Express,19,Bank Transfer,Bi-Weekly,0,1,1
35,Belt,Accessories,81,New Jersey,M,Beige,Spring,4.1,Store Pickup,26,PayPal,Quarterly,0,1,1
36,Dress,Clothing,83,Oregon,M,Red,Winter,4.6,Free Shipping,39,PayPal,Quarterly,0,1,1
54,Skirt,Clothing,21,Iowa,M,Black,Spring,4.8,Standard,24,Debit Card,Monthly,0,1,1
37,Dress,Clothing,22,South Carolina,M,Teal,Spring,4.9,Express,23,Debit Card,Annually,0,1,1
20,T-shirt,Clothing,33,Indiana,M,Blue,Summer,2.8,Free Shipping,44,Bank Transfer,Annually,0,1,1
23,Skirt,Clothing,23,Oregon,S,Beige,Spring,4.9,Standard,34,Cash,Monthly,0,1,1
61,Shorts,Clothing,96,New York,L,Teal,Summer,3.5,Free Shipping,43,Bank Transfer,Quarterly,0,1,1
37,Jewelry,Accessories,21,New Mexico,M,Maroon,Spring,3.8,Express,45,PayPal,Quarterly,0,1,1
23,Pants,Clothing,39,Louisiana,M,Yellow,Spring,4.5,2-Day Shipping,4,Credit Card,Weekly,0,1,1
63,Belt,Accessories,73,South Carolina,S,Indigo,Fall,3.4,Express,19,Credit Card,Annually,0,1,1
47,Jeans,Clothing,64,Maine,M,Magenta,Spring,3.9,Standard,29,Credit Card,Monthly,0,1,1
63,Jeans,Clothing,68,Indiana,M,Beige,Summer,4.1,2-Day Shipping,27,Credit Card,Annually,0,1,1
56,Hat,Accessories,89,Iowa,L,Maroon,Fall,3.0,Express,37,Credit Card,Every 3 Months,0,1,1
68,Blouse,Clothing,29,Mississippi,M,Magenta,Summer,3.3,Next Day Air,11,Credit Card,Weekly,0,1,1
64,Shirt,Clothing,97,Arkansas,XL,Teal,Summer,4.9,Free Shipping,28,Debit Card,Annually,0,1,1
62,Shirt,Clothing,45,South Carolina,M,Orange,Winter,4.3,Next Day Air,31,Credit Card,Weekly,0,1,1
34,T-shirt,Clothing,70,Indiana,L,Charcoal,Winter,4.1,Free Shipping,50,Venmo,Quarterly,0,1,1
49,Coat,Outerwear,56,Florida,M,Turquoise,Summer,4.0,2-Day Shipping,42,Venmo,Quarterly,0,1,1
40,Jacket,Outerwear,55,Alaska,L,Pink,Fall,5.0,2-Day Shipping,18,Credit Card,Fortnightly,0,1,1
50,Hoodie,Clothing,46,New York,S,Teal,Winter,3.1,2-Day Shipping,6,Credit Card,Fortnightly,0,1,1
25,Scarf,Accessories,95,Texas,M,White,Winter,4.0,2-Day Shipping,33,Venmo,Monthly,0,1,1
30,Belt,Accessories,88,North Dakota,M,Maroon,Winter,3.2,2-Day Shipping,13,Bank Transfer,Bi-Weekly,0,1,1
54,Sneakers,Footwear,92,Vermont,L,Violet,Fall,3.9,Standard,26,PayPal,Annually,0,1,1
40,Socks,Clothing,49,New Jersey,M,Brown,Summer,3.9,2-Day Shipping,17,Cash,Annually,0,1,1
49,Sandals,Footwear,89,Maryland,M,Indigo,Fall,4.5,Free Shipping,3,Debit Card,Weekly,0,1,1
27,Coat,Outerwear,22,Connecticut,XL,Black,Winter,4.4,Store Pickup,7,PayPal,Weekly,0,1,1
27,Shoes,Footwear,61,Illinois,XL,Black,Summer,3.1,2-Day Shipping,46,Venmo,Fortnightly,0,1,1
48,Scarf,Accessories,29,Maryland,S,Olive,Spring,2.9,Standard,14,Venmo,Every 3 Months,0,1,1
40,Sneakers,Footwear,82,Minnesota,M,Orange,Winter,3.7,Free Shipping,23,Bank Transfer,Annually,0,1,1
67,Belt,Accessories,94,Florida,M,Pink,Spring,3.2,2-Day Shipping,20,Credit Card,Every 3 Months,0,1,1
52,Handbag,Accessories,99,California,M,Olive,Spring,3.5,Standard,38,Bank Transfer,Fortnightly,0,1,1
22,Handbag,Accessories,59,Mississippi,S,Cyan,Fall,3.0,Free Shipping,16,Venmo,Every 3 Months,0,1,1
62,Boots,Footwear,90,Washington,M,White,Summer,4.1,Next Day Air,48,Credit Card,Every 3 Months,0,1,1
20,Boots,Footwear,100,Wisconsin,S,Red,Winter,2.9,2-Day Shipping,8,Debit Card,Annually,0,1,1
41,Pants,Clothing,62,Pennsylvania,M,Blue,Winter,3.8,Next Day Air,16,Bank Transfer,Monthly,0,1,1
34,Sunglasses,Accessories,78,Missouri,M,Olive,Fall,4.1,Next Day Air,5,Cash,Quarterly,0,1,1
23,Hoodie,Clothing,94,Oklahoma,M,Green,Spring,4.6,Store Pickup,14,Venmo,Every 3 Months,0,1,1
32,Shoes,Footwear,74,Pennsylvania,M,Yellow,Summer,2.5,Free Shipping,18,Credit Card,Weekly,0,1,1
68,Handbag,Accessories,52,Kentucky,XL,Black,Spring,3.7,Express,14,Debit Card,Every 3 Months,0,1,1
30,Jacket,Outerwear,81,Vermont,M,Blue,Fall,3.8,Free Shipping,5,Cash,Every 3 Months,0,1,1
66,Blouse,Clothing,20,Oregon,L,Pink,Winter,2.6,2-Day Shipping,15,Credit Card,Every 3 Months,0,1,1
62,Pants,Clothing,32,Utah,XL,Lavender,Summer,3.7,Free Shipping,3,Venmo,Every 3 Months,0,1,1
50,Boots,Footwear,63,Nebraska,XL,Cyan,Fall,2.6,Free Shipping,12,Cash,Every 3 Months,0,1,1
55,Boots,Footwear,79,Pennsylvania,M,Cyan,Spring,3.1,Store Pickup,43,Cash,Every 3 Months,0,1,1
19,Sweater,Clothing,23,Vermont,M,Gold,Winter,2.5,Next Day Air,35,Credit Card,Bi-Weekly,0,1,1
67,Gloves,Accessories,64,Kentucky,M,Green,Winter,4.9,Express,36,Bank Transfer,Quarterly,0,1,1
18,Socks,Clothing,69,Iowa,M,Red,Winter,4.5,Standard,3,Cash,Quarterly,0,1,1
58,Jeans,Clothing,69,Indiana,L,Magenta,Fall,3.4,Store Pickup,27,Bank Transfer,Annually,0,1,1
69,Pants,Clothing,24,Kansas,L,Red,Winter,3.9,Free Shipping,21,Bank Transfer,Weekly,0,1,1
62,Shorts,Clothing,50,Illinois,M,Yellow,Summer,3.7,Store Pickup,18,Venmo,Weekly,0,1,1
28,Gloves,Accessories,97,North Carolina,S,Turquoise,Fall,2.6,Free Shipping,16,Debit Card,Weekly,0,1,1
53,Sandals,Footwear,91,Ohio,S,Cyan,Fall,3.4,Store Pickup,18,Venmo,Bi-Weekly,0,1,1
27,Blouse,Clothing,37,Illinois,L,Yellow,Spring,4.9,Store Pickup,19,Bank Transfer,Bi-Weekly,0,1,1
55,Jacket,Outerwear,55,Indiana,S,Yellow,Winter,3.9,Express,1,Cash,Annually,0,1,1
34,Jewelry,Accessories,52,Kansas,XL,Maroon,Winter,3.6,Express,39,Bank Transfer,Annually,0,1,1
25,Hat,Accessories,80,Illinois,L,Brown,Spring,4.6,Standard,49,Venmo,Monthly,0,1,1
66,Socks,Clothing,79,Pennsylvania,M,Gold,Spring,4.0,2-Day Shipping,43,Credit Card,Fortnightly,0,1,1
57,Handbag,Accessories,23,New York,M,Charcoal,Summer,3.6,Free Shipping,31,Debit Card,Every 3 Months,0,1,1
46,Pants,Clothing,73,Utah,L,Beige,Winter,3.5,Next Day Air,40,Venmo,Every 3 Months,0,1,1
38,Gloves,Accessories,99,New Jersey,M,Indigo,Fall,4.1,Store Pickup,2,Bank Transfer,Bi-Weekly,0,1,1
23,Sweater,Clothing,22,Idaho,M,Red,Spring,3.0,Store Pickup,46,PayPal,Every 3 Months,0,1,1
42,Hat,Accessories,68,New Mexico,M,White,Summer,4.4,Store Pickup,35,Debit Card,Every 3 Months,0,1,1
25,Dress,Clothing,92,Michigan,S,Charcoal,Spring,4.4,2-Day Shipping,42,Credit Card,Quarterly,0,1,1
55,Pants,Clothing,77,Wyoming,M,Violet,Winter,3.7,Express,3,Venmo,Fortnightly,0,1,1
62,Coat,Outerwear,37,New Jersey,XL,Magenta,Spring,4.8,Standard,32,Debit Card,Every 3 Months,0,1,1
41,Scarf,Accessories,79,New Jersey,L,White,Winter,2.9,Store Pickup,48,Debit Card,Annually,0,1,1
58,Hoodie,Clothing,51,Hawaii,XL,Pink,Winter,3.1,Express,34,Credit Card,Weekly,0,1,1
56,Socks,Clothing,27,Nevada,M,Lavender,Summer,4.0,Next Day Air,15,Bank Transfer,Quarterly,0,1,1
25,Blouse,Clothing,23,New Hampshire,S,Pink,Spring,3.0,Store Pickup,22,Debit Card,Annually,0,1,1
70,Socks,Clothing,76,Indiana,S,Silver,Summer,3.9,2-Day Shipping,2,Cash,Monthly,0,1,1
42,Dress,Clothing,31,New York,M,Violet,Fall,3.4,Standard,30,Bank Transfer,Weekly,0,1,1
27,Hoodie,Clothing,60,Louisiana,M,Charcoal,Winter,2.7,Standard,27,Cash,Monthly,0,1,1
65,T-shirt,Clothing,99,Virginia,M,Charcoal,Spring,3.5,Express,18,Venmo,Bi-Weekly,0,1,1
62,Hat,Accessories,37,Wisconsin,XL,Red,Winter,3.0,Free Shipping,8,Credit Card,Annually,0,1,1
62,Boots,Footwear,50,Oregon,M,Peach,Winter,4.5,Express,48,Venmo,Fortnightly,0,1,1
52,Jeans,Clothing,26,New Hampshire,XL,Purple,Winter,4.1,Free Shipping,24,Cash,Monthly,0,1,1
56,Shorts,Clothing,86,Indiana,XL,Orange,Spring,5.0,Next Day Air,43,Credit Card,Monthly,0,1,1
28,Sandals,Footwear,41,Massachusetts,L,Magenta,Fall,4.0,Standard,8,Cash,Quarterly,0,1,1
39,Sandals,Footwear,23,Montana,XL,Red,Winter,4.9,Express,49,PayPal,Annually,0,1,1
54,Sneakers,Footwear,56,California,XL,Black,Spring,3.3,2-Day Shipping,2,Credit Card,Bi-Weekly,0,1,1
30,Hat,Accessories,68,Indiana,M,Peach,Fall,4.1,Standard,38,Cash,Fortnightly,0,1,1
45,Coat,Outerwear,48,West Virginia,S,Olive,Winter,3.6,Express,4,Cash,Fortnightly,0,1,1
68,Dress,Clothing,67,Minnesota,L,Gold,Spring,3.0,Free Shipping,31,Cash,Every 3 Months,0,1,1
47,Boots,Footwear,87,Ohio,XL,Gold,Spring,4.1,2-Day Shipping,34,Debit Card,Every 3 Months,0,1,1
68,Skirt,Clothing,64,Minnesota,M,Turquoise,Fall,3.9,Standard,45,Credit Card,Monthly,0,1,1
63,Shirt,Clothing,93,Virginia,XL,Green,Spring,4.1,Store Pickup,30,Debit Card,Quarterly,0,1,1
20,Shirt,Clothing,29,Connecticut,L,Maroon,Summer,2.8,Next Day Air,2,Credit Card,Fortnightly,0,1,1
29,Boots,Footwear,62,Tennessee,L,Brown,Winter,4.8,Store Pickup,44,Venmo,Monthly,0,1,1
41,Hoodie,Clothing,70,Delaware,L,Brown,Winter,4.6,2-Day Shipping,1,Credit Card,Bi-Weekly,0,1,1
52,Sweater,Clothing,92,Vermont,S,Blue,Winter,2.5,Next Day Air,1,Venmo,Bi-Weekly,0,1,1
32,Shirt,Clothing,79,Louisiana,M,Lavender,Spring,2.7,Next Day Air,27,Bank Transfer,Weekly,0,1,1
20,Blouse,Clothing,31,North Dakota,M,Peach,Fall,4.0,Standard,14,Debit Card,Every 3 Months,0,1,1
47,T-shirt,Clothing,83,Oregon,S,Gray,Spring,2.7,Standard,41,Cash,Weekly,0,1,1
23,Jacket,Outerwear,88,Idaho,XL,Charcoal,Winter,2.9,Next Day Air,25,Debit Card,Bi-Weekly,0,1,1
43,Jewelry,Accessories,53,Vermont,M,Lavender,Spring,3.0,Standard,47,PayPal,Quarterly,0,1,1
67,Hoodie,Clothing,98,West Virginia,M,Green,Fall,3.3,Standard,20,Cash,Annually,0,1,1
70,Jewelry,Accessories,57,Kentucky,S,Gray,Spring,4.3,Store Pickup,42,PayPal,Annually,0,1,1
35,Sandals,Footwear,80,Wisconsin,M,Orange,Winter,4.4,Express,16,Bank Transfer,Monthly,0,1,1
41,Jeans,Clothing,29,Mississippi,L,Silver,Spring,4.1,Next Day Air,32,Credit Card,Every 3 Months,0,1,1
54,Hat,Accessories,73,Missouri,M,Olive,Spring,3.1,2-Day Shipping,37,PayPal,Quarterly,0,1,1
55,Sweater,Clothing,32,Arkansas,S,Turquoise,Fall,4.5,Standard,1,PayPal,Monthly,0,1,1
51,Boots,Footwear,68,Wyoming,L,Turquoise,Spring,4.8,Next Day Air,37,Bank Transfer,Weekly,0,1,1
19,Blouse,Clothing,97,Rhode Island,L,Green,Spring,5.0,Express,5,Venmo,Quarterly,0,1,1
28,Shorts,Clothing,98,Utah,M,Violet,Fall,2.8,Next Day Air,31,Venmo,Fortnightly,0,1,1
63,Hoodie,Clothing,56,Maryland,L,Charcoal,Fall,3.7,Express,18,Debit Card,Annually,0,1,1
30,Pants,Clothing,78,Georgia,L,White,Winter,4.4,2-Day Shipping,39,Venmo,Every 3 Months,0,1,1
29,Belt,Accessories,81,New Jersey,M,Olive,Spring,4.5,Store Pickup,8,Venmo,Bi-Weekly,0,1,1
24,Shirt,Clothing,68,New Hampshire,L,Violet,Winter,3.0,Free Shipping,20,Venmo,Monthly,0,1,1
69,Shirt,Clothing,94,Oregon,M,Violet,Winter,3.9,2-Day Shipping,23,Debit Card,Every 3 Months,0,1,1
65,Dress,Clothing,93,Arkansas,M,Black,Spring,3.9,Express,38,PayPal,Fortnightly,0,1,1
64,Gloves,Accessories,99,North Carolina,M,Charcoal,Fall,3.5,Next Day Air,45,Bank Transfer,Fortnightly,0,1,1
40,Gloves,Accessories,49,West Virginia,L,Yellow,Winter,4.9,Next Day Air,44,Debit Card,Fortnightly,0,1,1
24,Jeans,Clothing,28,Utah,XL,Blue,Winter,3.4,Standard,20,PayPal,Monthly,0,1,1
66,Belt,Accessories,93,South Dakota,XL,Charcoal,Winter,4.1,Standard,34,PayPal,Bi-Weekly,0,1,1
35,Jacket,Outerwear,24,New Hampshire,M,Red,Fall,2.9,Next Day Air,10,PayPal,Weekly,0,1,1
67,Skirt,Clothing,35,Maryland,M,Indigo,Spring,3.4,Free Shipping,3,PayPal,Annually,0,1,1
